iter	Passed	Remaining
372	4409	7412
373	4425	7407
374	4450	7416
375	4464	7409
376	4481	7406
377	4497	7401
378	4514	7397
379	4524	7381
380	4538	7373
381	4555	7370
382	4569	7361
383	4581	7349
384	4596	7341
385	4618	7347
386	4642	7353
387	4654	7341
388	4669	7334
389	4689	7334
390	4699	7319
391	4718	7318
392	4769	7366
393	4809	7397
394	4853	7434
395	4900	7473
396	4934	7495
397	4952	7491
398	4964	7478
399	4980	7470
400	5002	7471
401	5027	7477
402	5035	7460
403	5051	7452
404	5066	7444
405	5087	7443
406	5096	7426
407	5118	7426
408	5132	7416
409	5140	7397
410	5165	7402
411	5172	7382
412	5188	7374
413	5200	7360
414	5215	7351
415	5232	7345
416	5248	7338
417	5256	7318
418	5264	7300
419	5285	7298
420	5294	7281
421	5306	7268
422	5320	7257
423	5332	7244
424	5350	7238
425	5369	7234
426	5376	7214
427	5386	7198
428	5399	7187
429	5416	7180
430	5425	7162
431	5438	7150
432	5451	7138
433	5467	7129
434	5477	7115
435	5487	7098
436	5502	7088
437	5514	7075
438	5524	7059
439	5542	7053
440	5561	7049
441	5577	7041
442	5595	7035
443	5609	7024
444	5624	7015
445	5640	7006
446	5656	6998
447	5674	6991
448	5690	6983
449	5698	6965
450	5711	6952
451	5725	6941
452	5735	6925
453	5750	6915
454	5765	6906
455	5777	6892
456	5789	6879
457	5800	6864
458	5827	6868
459	5837	6852
460	5853	6844
461	5876	6843
462	5889	6830
463	5897	6813
464	5913	6804
465	5936	6802
466	5946	6787
467	5960	6776
468	5979	6770
469	5999	6765
470	6013	6753
471	6031	6747
472	6042	6732
473	6063	6728
474	6076	6716
475	6095	6710
476	6110	6699
477	6115	6678
478	6132	6669
479	6153	6666
480	6169	6656
481	6184	6646
482	6196	6632
483	6212	6623
484	6227	6613
485	6252	6612
486	6266	6600
487	6286	6595
488	6302	6586
489	6315	6572
490	6325	6557
491	6343	6550
492	6359	6540
493	6376	6531
494	6385	6514
495	6400	6504
496	6418	6495
497	6426	6478
498	6435	6460
499	6452	6452
500	6464	6439
501	6478	6426
502	6494	6416
503	6507	6404
504	6516	6387
505	6527	6373
506	6542	6361
507	6554	6348
508	6566	6333
509	6577	6319
510	6591	6307
511	6605	6296
512	6620	6284
513	6633	6271
514	6648	6261
515	6665	6252
516	6673	6234
517	6691	6226
518	6704	6213
519	6716	6199
520	6730	6187
521	6742	6174
522	6756	6162
523	6769	6149
524	6782	6136
525	6798	6126
526	6811	6113
527	6827	6103
528	6837	6088
529	6852	6076
530	6868	6066
531	6884	6055
532	6891	6038
533	6905	6026
534	6921	6015
535	6933	6001
536	6945	5988
537	6953	5970
538	6963	5955
539	6976	5943
540	6984	5926
541	7002	5916
542	7012	5901
543	7023	5887
544	7037	5875
545	7049	5861
546	7063	5849
547	7112	5866
548	7157	5879
549	7193	5885
550	7224	5887
551	7235	5871
552	7282	5886
553	7290	5868
554	7308	5859
555	7330	5854
556	7346	5842
557	7359	5829
558	7374	5818
559	7397	5812
560	7406	5796
561	7421	5784
562	7432	5768
563	7446	5756
564	7468	5750
565	7479	5734
566	7495	5724
567	7519	5718
568	7529	5703
569	7546	5692
570	7564	5683
571	7584	5674
572	7594	5659
573	7611	5649
574	7629	5639
575	7643	5626
576	7659	5615
577	7679	5606
578	7689	5590
579	7707	5581
580	7728	5573
581	7746	5563
582	7756	5547
583	7767	5532
584	7781	5520
585	7796	5507
586	7816	5499
587	7842	5494
588	7850	5478
589	7867	5467
590	7883	5455
591	7895	5441
592	7914	5431
593	7926	5417
594	7940	5404
595	7954	5392
596	7968	5378
597	7981	5365
598	7994	5352
599	8009	5339
600	8022	5326
601	8035	5312
602	8057	5304
603	8070	5291
604	8083	5277
605	8090	5260
606	8098	5243
607	8120	5235
608	8133	5222
609	8146	5208
610	8154	5191
611	8165	5176
612	8177	5162
613	8190	5149
614	8199	5133
615	8215	5121
616	8231	5109
617	8245	5096
618	8258	5083
619	8274	5071
620	8287	5058
621	8304	5046
622	8315	5032
623	8327	5017
624	8343	5006
625	8362	4996
626	8373	4981
627	8387	4968
628	8402	4955
629	8413	4941
630	8424	4926
631	8435	4911
632	8449	4898
633	8463	4885
634	8478	4873
635	8490	4859
636	8502	4845
637	8520	4834
638	8528	4818
639	8537	4802
640	8549	4788
641	8563	4775
642	8576	4761
643	8590	4748
644	8600	4733
645	8615	4721
646	8630	4708
647	8642	4694
648	8656	4681
649	8673	4670
650	8690	4658
651	8704	4645
652	8720	4634
653	8735	4621
654	8748	4608
655	8769	4598
656	8793	4591
657	8807	4577
658	8816	4562
659	8832	4550
660	8841	4534
661	8857	4522
662	8876	4511
663	8886	4496
664	8903	4485
665	8914	4470
666	8932	4459
667	8951	4449
668	8960	4433
669	8978	4422
670	8994	4410
671	9014	4400
672	9023	4384
673	9043	4374
674	9063	4364
675	9074	4349
676	9084	4334
677	9098	4321
678	9115	4309
679	9130	4296
680	9142	4282
681	9167	4274
682	9184	4262
683	9209	4254
684	9225	4242
685	9237	4228
686	9259	4218
687	9270	4203
688	9285	4191
689	9296	4176
690	9306	4161
691	9321	4149
692	9339	4137
693	9354	4124
694	9419	4133
695	9450	4127
696	9492	4126
697	9533	4124
698	9543	4109
699	9570	4101
700	9591	4091
701	9602	4076
702	9616	4062
703	9627	4048
704	9639	4033
705	9658	4021
706	9667	4006
707	9678	3991
708	9692	3978
709	9707	3965
710	9718	3950
711	9728	3935
712	9742	3921
713	9755	3907
714	9771	3894
715	9783	3880
716	9802	3869
717	9814	3854
718	9822	3838
719	9831	3823
720	9845	3809
721	9860	3796
722	9874	3783
723	9881	3767
724	9896	3753
725	9911	3740
726	9926	3727
727	9942	3714
728	9955	3700
729	9970	3687
730	9981	3673
731	9998	3660
732	10020	3650
733	10031	3635
734	10048	3622
735	10056	3607
736	10068	3592
737	10083	3579
738	10098	3566
739	10112	3552
740	10118	3536
741	10125	3520
742	10138	3506
743	10150	3492
744	10164	3479
745	10176	3465
746	10192	3451
747	10201	3436
748	10215	3423
749	10228	3409
750	10242	3395
751	10255	3382
752	10270	3368
753	10285	3355
754	10299	3342
755	10310	3327
756	10326	3314
757	10338	3300
758	10348	3285
759	10364	3273
760	10383	3261
761	10395	3246
762	10419	3236
763	10429	3221
764	10446	3209
765	10468	3197
766	10482	3184
767	10503	3172
768	10517	3159
769	10538	3147
770	10560	3136
771	10569	3121
772	10584	3108
773	10598	3094
774	10615	3081
775	10635	3069
776	10649	3056
777	10668	3044
778	10687	3031
779	10700	3017
780	10711	3003
781	10734	2992
782	10743	2977
783	10763	2965
784	10776	2951
785	10793	2938
786	10808	2925
787	10819	2910
788	10833	2897
789	10860	2886
790	10877	2874
791	10892	2860
792	10904	2846
793	10911	2831
794	10924	2817
795	10939	2803
796	10948	2788
797	10962	2774
798	10975	2761
799	10989	2747
800	11002	2733
801	11017	2720
802	11032	2706
803	11046	2692
804	11063	2679
805	11077	2666
806	11089	2652
807	11103	2638
808	11117	2624
809	11130	2610
810	11144	2597
811	11156	2583
812	11170	2569
813	11185	2555
814	11197	2541
815	11212	2528
816	11236	2516
817	11244	2501
818	11256	2487
819	11278	2475
820	11289	2461
821	11299	2446
822	11313	2433
823	11324	2418
824	11340	2405
825	11352	2391
826	11364	2377
827	11379	2363
828	11397	2350
829	11412	2337
830	11427	2324
831	11441	2310
832	11457	2296
833	11467	2282
834	11484	2269
835	11501	2256
836	11519	2243
837	11535	2230
838	11551	2216
839	11561	2202
840	11573	2188
841	11589	2174
842	11607	2161
843	11625	2148
844	11634	2134
845	11645	2119
846	11687	2111
847	11734	2103
848	11758	2091
849	11797	2081
850	11811	2068
851	11857	2059
852	11869	2045
853	11878	2030
854	11897	2017
855	11909	2003
856	11923	1989
857	11940	1976
858	11961	1963
859	11976	1949
860	11995	1936
861	12005	1921
862	12023	1908
863	12040	1895
864	12048	1880
865	12064	1866
866	12080	1853
867	12103	1840
868	12114	1826
869	12132	1812
870	12151	1799
871	12170	1786
872	12185	1772
873	12196	1758
874	12213	1744
875	12233	1731
876	12256	1718
877	12268	1704
878	12284	1690
879	12301	1677
880	12325	1664
881	12342	1651
882	12353	1636
883	12367	1622
884	12386	1609
885	12403	1595
886	12412	1581
887	12428	1567
888	12440	1553
889	12453	1539
890	12466	1525
891	12476	1510
892	12488	1496
893	12499	1482
894	12513	1468
895	12528	1454
896	12558	1442
897	12572	1428
898	12579	1413
899	12588	1398
900	12601	1384
901	12615	1370
902	12623	1355
903	12638	1342
904	12652	1328
905	12664	1314
906	12675	1299
907	12687	1285
908	12698	1271
909	12714	1257
910	12722	1242
911	12733	1228
912	12748	1214
913	12761	1200
914	12772	1186
915	12779	1171
916	12791	1157
917	12806	1143
918	12821	1130
919	12832	1115
920	12845	1101
921	12857	1087
922	12869	1073
923	12884	1059
924	12897	1045
925	12910	1031
926	12927	1018
927	12945	1004
928	12955	990
929	12972	976
930	12984	962
931	13000	948
932	13013	934
933	13026	920
934	13042	906
935	13055	892
936	13068	878
937	13082	864
938	13092	850
939	13109	836
940	13122	822
941	13129	808
942	13148	794
943	13164	780
944	13172	766
945	13185	752
946	13201	738
947	13214	724
948	13227	710
949	13239	696
950	13257	683
951	13282	669
952	13294	655
953	13316	642
954	13328	628
955	13349	614
956	13374	600
957	13392	587
958	13411	573
959	13426	559
960	13444	545
961	13467	531
962	13480	517
963	13499	504
964	13516	490
965	13537	476
966	13553	462
967	13568	448
968	13589	434
969	13623	421
970	13672	408
971	13730	395
972	13785	382
973	13820	368
974	13847	355
975	13858	340
976	13873	326
977	13894	312
978	13909	298
979	13924	284
980	13950	270
981	13971	256
982	13984	241
983	14004	227
984	14018	213
985	14034	199
986	14052	185
987	14064	170
988	14080	156
989	14091	142
990	14108	128
991	14124	113
992	14131	99
993	14147	85
994	14162	71
995	14182	56
996	14196	42
997	14208	28
998	14221	14
999	14231	0
